,type,area,overall
45,2.3372173994381797,1.8151805511200259,4.152397950558205
64,2.2912543150267406,1.952289786907959,4.2435441019347
99,2.318873385547809,1.5558924594826147,3.874765845030424
142,2.2779559036134223,1.6287265817383574,3.9066824853517796
150,2.2902752613774173,1.1666728297673912,3.4569480911448087
193,2.2498944337555113,1.3010063337725202,3.5509007675280317
203,2.203437450928426,1.907475330524419,4.1109127814528446
211,2.269841797378705,2.252602762071172,4.522444559449877
245,2.397203022833005,1.667711988135728,4.064915010968733
269,2.3933287154434515,1.4634570916590575,3.8567858071025087
271,2.4067315893748993,3.062801576693649,5.4695331660685484
297,2.3382198822905895,2.1599203078431977,4.498140190133787
304,2.2841981447840456,1.8178628016209133,4.102060946404959
314,2.3104995170172904,1.3321523688901062,3.6426518859073966
332,2.3052483184257735,2.2228667016954535,4.528115020121227
340,2.328997521145857,2.0321390798391965,4.361136600985054
342,2.283698005428127,1.765483305809378,4.049181311237505
343,2.260057923500427,1.667152083609765,3.927210007110192
370,2.294354780905918,1.958340992442134,4.2526957733480515
386,2.327780728166106,2.644149742501424,4.97193047066753
389,2.2998205921069017,2.8080842707401494,5.107904862847051
435,2.3639143521202706,3.6922355864499212,6.056149938570192
436,2.3272955991449207,6.234915901075946,8.562211500220867
438,2.268615062545645,1.6158029651141712,3.8844180276598164
451,2.2143505169147772,4.7041829010360505,6.918533417950828
454,2.3835940639553677,5.371922059835238,7.755516123790605
466,2.4131241343370218,1.6748557755363007,4.087979909873322
472,2.3530809055363724,6.464272361646006,8.817353267182378
496,2.276267971909947,5.995619810631258,8.271887782541205
545,2.3369883075546922,2.9827146243410807,5.3197029318957725
557,2.362726437831488,2.8033522225752345,5.166078660406722
559,2.2826357715734646,2.6920978632742965,4.974733634847761
574,2.322815849414002,1.605223846670799,3.9280396960848014
575,2.298123397715846,2.2188253634685324,4.516948761184379
620,2.293334553103717,1.8377474296496275,4.1310819827533445
622,2.3036949388496435,3.21608426663307,5.519779205482713
623,2.310353000225793,2.1648059067530445,4.475158906978837
629,2.3357987240124745,1.677668996570856,4.01346772058333
645,2.3047412249543986,2.226515420456079,4.531256645410478
660,2.355969878021503,1.7373398011822014,4.0933096792037045
671,2.3254774154524287,2.1743995209322544,4.499876936384683
679,2.285506631091875,1.7536426245927734,4.039149255684649
692,2.260867077275487,1.679328491892641,3.940195569168128
698,2.293780049100759,2.089953861599725,4.383733910700483
700,2.4074246609420733,0.6367846320737,3.0442092930157734
711,2.2886357594380535,2.23639408798069,4.525029847418743
714,2.265488074305963,2.137821992755233,4.403310067061196
737,2.2848640533745774,1.3165047110975812,3.6013687644721584
740,2.2805066081563847,1.2773392899987854,3.55784589815517
742,2.3184987434164883,1.1771787227687283,3.4956774661852164
750,2.393776425348959,1.3124641183555297,3.7062405437044887
752,2.3237551535007785,1.066822104140297,3.3905772576410755
767,2.3937769986184874,0.1854671916365623,2.5792441902550496
773,2.1383622642766382,1.1873490539442657,3.325711318220904
782,2.3037858923913865,1.045095661423498,3.3488815538148846
791,2.366997567661714,2.89022380155024,5.257221369211955
811,2.334495579421289,2.725952668714618,5.060448248135907
830,2.359069047498766,1.666570657780478,4.025639705279244
842,2.3358040567875262,1.8735883656756573,4.209392422463184
843,2.3573001832109153,2.119261669517265,4.47656185272818
853,2.3874989484331715,1.7080575425602298,4.095556490993401
875,2.326175267287397,1.7842132434272144,4.110388510714611
880,2.360656914907005,1.511184933616151,3.8718418485231556
890,2.3153605426430905,1.8206254049948487,4.1359859476379395
910,2.3119130435593345,1.730097483760657,4.0420105273199916
913,2.3292814173676466,2.0176061081781493,4.346887525545796
921,2.3153245722860905,2.5055247337341693,4.82084930602026
932,2.325827958452918,1.9549536300876464,4.280781588540564
935,2.3399006022094793,2.014626720659178,4.354527322868657
940,2.270654256239813,2.00337587743515,4.274030133674962
948,2.334403701661428,2.2380142948037327,4.572417996465161
954,2.319428635002027,1.687916186907965,4.007344821909992
963,2.366667109216555,1.8702751364497416,4.236942245666297
986,2.3589484428493694,1.9664693182112147,4.325417761060584
991,2.3385809108671327,2.659710881259943,4.998291792127075
1023,2.3145716933208837,1.9996941984525896,4.3142658917734735
1055,2.3335359615692206,1.531850618768874,3.865386580338095
1056,2.330091519846293,1.3939706956942626,3.7240622155405556
1067,2.3011392060988958,2.011982815922593,4.3131220220214885
1071,2.3302913677083508,1.8264773709021944,4.156768738610545
1079,2.341148756796603,2.5393491035432976,4.880497860339901
1084,2.3750948844425492,1.217850487750847,3.5929453721933964
1086,2.3503498449543363,0.6276386827399596,2.977988527694296
1097,2.3479726061198587,2.47332860570886,4.821301211828718
1122,2.3997176615309788,1.91197417193386,4.311691833464839
