rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
1,1,0:06:00,10827,1,0,0,short service,0,1,2,7,0.773170732,0.5196875,,,8,170.8,308.95,8,236.7,675.21,1,1,0,8
1,2,0:06:01,10849,1,0,1,net shot,0,0,2,7,0.086585366,-0.237239583,,,8,208.7,594.37,8,176.8,318.46,1,1,0,8
1,3,0:06:02,10873,1,0,0,lob,0,0,1,3,1.402439024,1.638489583,,,7,174.2,378.28,8,180.1,622.54,1,1,0,8
1,4,0:06:03,10917,1,0,1,clear,0,0,1,4,1.358536585,-1.434166667,,,3,257.9,809.08,8,179.3,306.43,1,1,0,8
1,5,0:06:04,10943,1,0,0,drop,0,1,2,1,1.487804878,0.35984375,,,6,273.5,268.22,8,233.2,738.15,1,1,0,8
1,6,0:06:05,10966,1,0,1,net shot,0,0,2,2,1.297560976,-0.220104167,,,1,259.8,573.61,8,240.6,263.58,1,1,0,8
1,7,0:06:06,10994,1,0,0,lob,0,1,1,9,-0.787804878,1.659635417,,,2,255.6,384.09,8,211.5,604.38,1,1,0,8
1,8,0:06:08,11041,1,0,1,drop,0,0,2,10,1.601219512,-0.5040625,out,0,9,128.9,789.4,8,154.2,292.12,1,1,0,8
8,1,0:09:20,16805,2,6,1,short service,0,1,2,7,-0.280487805,-0.495677083,,,8,186,630.55,8,132.6,284.99,1,1,7,5
8,2,0:09:21,16830,2,6,0,push/rush,0,1,1,3,1.204878049,1.54421875,,,7,125.7,391.98,8,166.2,633.83,1,1,7,5
8,3,0:09:22,16860,2,6,1,clear,0,0,1,4,1.530487805,-1.420885417,,,9,231.9,764.88,8,173.8,289.42,1,1,7,5
8,4,0:09:22,16889,2,6,0,clear,0,1,1,9,-0.548780488,1.565989583,,,6,274.6,237.37,8,225.7,687.14,1,1,7,5
8,5,0:09:24,16924,2,6,1,smash,0,0,2,7,0.358536585,0.129114583,touched the net,0,8,154.6,739.7,8,182,256.69,1,1,7,5
11,1,0:10:58,19747,5,6,0,short service,0,1,2,1,1.335365854,0.625989583,,,8,174.3,341.99,8,238.5,669.18,1,1,10,10
11,2,0:10:59,19771,5,6,1,net shot,0,0,2,2,1.264634146,-0.187291667,,,7,242.8,592.5,8,192.6,313.49,1,1,10,10
11,3,0:10:59,19798,5,6,0,lob,0,1,1,3,1.236585366,1.684739583,,,7,247.3,375.3,8,211.4,606.03,1,1,10,10
11,4,0:11:01,19835,5,6,1,smash,0,0,2,8,0.130487805,-1.055833333,,,9,233.1,767.49,8,189.2,289.23,1,1,10,10
11,5,0:11:01,19845,5,6,0,defensive shot,0,1,2,7,-0.596341463,0.57734375,,,8,172.6,269.5,3,259.2,785.45,1,1,10,10
11,6,0:11:02,19883,5,6,1,lob,0,1,1,9,0.415853659,-1.44265625,,,7,138.9,579.5,8,153.8,316.34,1,1,10,10
11,7,0:11:04,19927,5,6,0,smash,0,0,2,6,-1.163414634,1.1415625,,,9,212.4,189.96,8,200.8,672.34,1,1,10,10
11,8,0:11:04,19942,5,6,1,defensive shot,0,1,2,7,-0.065853659,-0.1390625,,,8,204.5,661.71,9,194.6,203.87,1,1,10,10
11,9,0:11:05,19969,5,6,0,net shot,0,0,2,7,0.243902439,0.179375,,,7,160.8,371.74,6,101.9,627.75,1,1,10,10
11,10,0:11:06,19998,5,6,1,net shot,0,0,2,7,0.274390244,0.07890625,touched the net,0,7,179.1,542.32,8,175.5,341.97,1,1,10,10
12,1,0:11:33,20819,5,7,0,short service,0,1,2,7,-0.703658537,0.49625,,,8,185.3,308.77,8,124.6,672.64,1,1,11,13
12,2,0:11:34,20839,5,7,1,net shot,0,1,2,2,1.269512195,-0.22,,,7,133.6,570.91,8,172,299.24,1,1,11,13
12,3,0:11:35,20867,5,7,0,lob,0,1,1,9,-0.484146341,1.652864583,,,2,254.6,381.89,8,165.7,651.1,1,1,11,13
12,4,0:11:37,20916,5,7,1,smash,0,0,2,8,0.813414634,-0.955,,,9,142.2,775.4,8,151.5,269.77,1,1,11,13
12,5,0:11:37,20930,5,7,0,defensive shot,0,1,2,5,1.253658537,0.773697917,,,8,147.1,259.69,9,139.7,784.34,1,1,11,13
12,6,0:11:38,20960,5,7,1,net shot,0,0,2,2,1.368292683,-0.187708333,,,8,247.4,630.25,8,213.7,315.64,1,1,11,13
12,7,0:11:39,20989,5,7,0,net shot,0,1,2,1,1.392682927,0.175677083,,,2,259.4,410.11,8,219.7,614.21,1,1,11,13
12,8,0:11:40,21014,5,7,1,lob,0,0,1,9,0.57804878,-1.3725,,,1,262.8,566.64,8,228.1,355.2,1,1,11,13
12,9,0:11:41,21053,5,7,0,clear,0,0,1,5,1.095121951,1.28140625,,,9,229.9,189.71,8,213,619.14,1,1,11,13
12,10,0:11:42,21078,5,7,1,smash,0,0,2,6,1.42804878,-1.17,,,8,246.5,714.5,9,195.9,162.27,1,1,11,13
12,11,0:11:43,21090,5,7,0,defensive shot,0,1,1,8,0.136585366,0.97453125,,,8,179.1,225.51,5,260.2,732.6,1,1,11,13
12,12,0:11:43,21115,5,7,1,smash,1,0,2,5,-0.945121951,-1.036822917,,,8,232.7,636.69,8,199.8,279.19,1,1,11,13
12,13,0:11:44,21126,5,7,0,defensive shot,0,0,2,10,-2.118292683,0.797916667,not pass over the net,0,8,154,264.69,8,202.1,638.41,1,1,11,13
15,1,0:13:31,24340,6,9,0,short service,0,1,2,7,0.613414634,0.54734375,,,8,168.9,287.01,8,233.5,672.22,1,1,14,7
15,2,0:13:31,24359,6,9,1,lob,0,0,1,9,-0.735365854,-1.50765625,,,8,205.6,596.07,8,170.8,267,1,1,14,7
15,3,0:13:33,24395,6,9,0,drop,0,0,2,1,1.340243902,0.634791667,,,9,116.6,174.71,8,192.5,654.08,1,1,14,7
15,4,0:13:34,24420,6,9,1,lob,0,0,1,5,-1.084146341,-1.3484375,,,8,245.9,647.64,8,170.8,238.76,1,1,14,7
15,5,0:13:35,24452,6,9,0,drop,0,0,2,1,1.056097561,0.4915625,,,9,107.4,194.21,8,183.3,647.91,1,1,14,7
15,6,0:13:36,24481,6,9,1,net shot,0,0,2,1,-0.88902439,-0.378125,,,7,224.1,590.92,8,161.3,236.28,1,1,14,7
15,7,0:13:36,24508,6,9,0,lob,0,0,2,10,1.735365854,1.710625,out,0,8,136.5,353.91,8,184.5,627.35,1,1,14,7
22,1,0:18:43,33709,10,12,1,short service,0,1,2,7,0.654878049,-0.32828125,,,8,175.5,638.54,8,135.2,259.85,1,1,21,9
22,2,0:18:44,33730,10,12,0,lob,0,0,1,9,-0.814634146,1.619895833,,,8,238.5,348.21,8,196.7,638.44,1,1,21,9
22,3,0:18:45,33768,10,12,1,smash,0,0,2,5,-1.398780488,-1.140572917,,,9,131.5,759.81,8,152.3,282.26,1,1,21,9
22,4,0:18:46,33782,10,12,0,defensive shot,0,0,2,2,-1.220731707,0.367708333,,,8,132.2,264.96,9,111.5,771.59,1,1,21,9
22,5,0:18:47,33812,10,12,1,net shot,0,1,2,7,-0.192682927,-0.358489583,,,8,114.7,601.58,8,110.6,270.29,1,1,21,9
22,6,0:18:47,33839,10,12,0,lob,0,0,1,4,-0.908536585,1.679375,,,7,164.9,378.38,8,161.1,607.95,1,1,21,9
22,7,0:18:49,33882,10,12,1,clear,0,0,1,4,1.102439024,-1.41828125,,,9,124.5,776.72,8,148.3,257.13,1,1,21,9
22,8,0:18:50,33917,10,12,0,drop,1,0,1,1,1.376829268,0.47234375,,,8,200.4,243.57,8,171.1,707.62,1,1,21,9
22,9,0:18:51,33942,10,12,1,push/rush,0,0,2,5,-0.954878049,-1.224427083,opponent's ball landed,0,1,264.6,587.3,8,216.5,230.28,1,1,21,9
